"StoryPoints","Updated","Created","Branch","snum1","snum2","snum3","snum4","snum5","snum6"
2,"Oct-27-2022 3:26 PM","Oct-27-2022 1:58 PM",5507,136,NA,NA,NA,NA,NA
1,"Oct-29-2022 9:11 AM","Oct-27-2022 11:36 AM",5505,136,NA,NA,NA,NA,NA
1,"Oct-28-2022 11:38 AM","Oct-27-2022 11:18 AM",5503,136,NA,NA,NA,NA,NA
2,"Oct-26-2022 12:02 PM","Oct-26-2022 7:02 AM",5485,136,NA,NA,NA,NA,NA
3,"Oct-26-2022 8:59 AM","Oct-25-2022 1:03 PM",5484,136,NA,NA,NA,NA,NA
1,"Oct-28-2022 3:26 PM","Oct-25-2022 1:02 PM",5483,136,NA,NA,NA,NA,NA
3,"Oct-28-2022 6:37 AM","Oct-25-2022 9:08 AM",5481,136,NA,NA,NA,NA,NA
1,"Oct-27-2022 1:58 PM","Oct-24-2022 3:40 PM",5480,136,NA,NA,NA,NA,NA
2,"Oct-26-2022 7:23 AM","Oct-24-2022 2:30 PM",5479,136,NA,NA,NA,NA,NA
5,"Oct-27-2022 9:23 AM","Oct-24-2022 10:57 AM",5472,136,NA,NA,NA,NA,NA
5,"Oct-23-2022 9:10 AM","Oct-22-2022 8:15 AM",5469,136,NA,NA,NA,NA,NA
3,"Oct-21-2022 4:48 PM","Oct-21-2022 3:27 PM",5468,136,NA,NA,NA,NA,NA
1,"Oct-21-2022 4:40 PM","Oct-21-2022 10:21 AM",5466,136,NA,NA,NA,NA,NA
5,"Oct-22-2022 8:15 AM","Oct-21-2022 10:07 AM",5465,136,NA,NA,NA,NA,NA
2,"Oct-21-2022 12:15 PM","Oct-20-2022 4:38 PM",5464,136,NA,NA,NA,NA,NA
1,"Oct-21-2022 9:14 AM","Oct-19-2022 9:55 AM",5463,136,NA,NA,NA,NA,NA
2,"Oct-24-2022 9:07 AM","Oct-19-2022 9:53 AM",5462,136,NA,NA,NA,NA,NA
5,"Oct-25-2022 9:07 AM","Oct-19-2022 9:41 AM",5460,136,NA,NA,NA,NA,NA
2.5,"Oct-26-2022 10:07 AM","Oct-18-2022 11:53 AM",5455,136,NA,NA,NA,NA,NA
3,"Oct-19-2022 10:19 AM","Oct-18-2022 10:23 AM",5454,136,NA,NA,NA,NA,NA
