"D1","D2","D3","Total","StoryPoints","Branch","IsMCO","Is.Programming","Is.Programming.Notes","Phase"
0.03,NA,NA,0.03,5,5305,NA,NA,NA,NA
0.05,NA,0.2,0.25,1,5068,1,NA,NA,NA
0.05,NA,11.29,11.34,3,5092,1,1,"","coding"
0.07,NA,NA,0.07,2,5381,NA,NA,NA,NA
0.08,0.25,3.08,3.41,3,4965,1,1,"","coding"
0.08,2,NA,2.08,1,5259,NA,NA,NA,NA
0.08,NA,0.38,0.46,1,5168,1,NA,NA,NA
0.1,NA,0.25,0.35,1,5039,1,NA,NA,NA
0.1,NA,NA,0.1,1,4970,1,NA,NA,NA
0.12,NA,NA,0.12,3,5271,NA,NA,NA,NA
0.12,NA,NA,0.12,3,5380,NA,NA,NA,NA
0.13,NA,0.85,0.98,1,4859,NA,NA,NA,NA
0.13,NA,2.25,2.38,3,5140,NA,NA,NA,NA
0.15,NA,0.28,0.43,1,5085,1,1,"","coding"
0.15,NA,1.02,1.17,1,5225,1,1,"","coding"
0.15,NA,1.25,1.4,2,5239,1,1,"","coding"
0.15,NA,3.55,3.7,4,5084,NA,NA,NA,NA
0.17,1.5,NA,1.67,4,5311,1,1,"","testing/debugging"
0.17,NA,NA,0.17,0,5439,1,NA,NA,NA
0.18,NA,0.3,0.48,1,4920,1,NA,NA,NA
0.18,NA,0.9,1.08,1,4988,1,1,"","coding"
0.18,NA,1.62,1.8,3,5314,1,1,"","coding"
0.18,NA,NA,0.18,NA,5527,NA,NA,NA,NA
0.2,0.42,NA,0.62,1,4998,1,NA,NA,NA
0.2,1.5,NA,1.7,1,4985,1,1,"","coding"
0.2,NA,2.27,2.47,3,5004,1,1,"","coding"
0.2,NA,3.65,3.85,3,5176,1,0,"not a programming task",""
0.2,NA,NA,0.2,1,4255,1,1,"","coding"
0.2,NA,NA,0.2,5,5354,NA,NA,NA,NA
0.22,NA,2.8,3.02,3,5201,1,1,"","coding"
0.22,NA,NA,0.22,2,4851,NA,NA,NA,NA
0.22,NA,NA,0.22,4,4866,NA,NA,NA,NA
0.22,NA,NA,0.22,5,5307,NA,NA,NA,NA
0.23,NA,1.58,1.81,2,5283,1,1,"","coding"
0.27,0.25,NA,0.52,1,4837,1,1,"","coding"
0.27,NA,NA,0.27,3,5416,NA,NA,NA,NA
0.27,NA,NA,0.27,5,5306,NA,NA,NA,NA
0.3,0.5,NA,0.8,3,4842,NA,NA,NA,NA
0.3,1.17,NA,1.47,4,4967,1,1,"","coding"
0.32,NA,3.1,3.42,3,4810,1,1,"","coding"
0.33,NA,2.8,3.13,2,4876,1,1,"","coding"
0.33,NA,NA,0.33,1,5197,1,1,"","coding"
0.34,NA,NA,0.34,5,5319,NA,NA,NA,NA
0.35,0.25,NA,0.6,1,5027,NA,NA,NA,NA
0.35,0.5,4.4,5.25,4,4930,1,1,"","coding"
0.35,0.5,NA,0.85,2,4942,1,1,"","coding"
0.35,NA,NA,0.35,1,4791,NA,NA,NA,NA
0.37,0.25,NA,0.62,1,5165,NA,NA,NA,NA
0.37,1.5,NA,1.87,4,5211,NA,NA,NA,NA
0.37,2.83,0.43,3.63,2,4758,1,1,"","coding"
0.37,5.25,NA,5.62,4,5210,NA,NA,NA,NA
0.37,NA,0.4,0.77,1,4995,1,1,"","coding"
0.37,NA,2.55,2.92,3,5310,1,1,"","testing/debugging"
0.38,0.25,NA,0.63,1,4843,1,1,"","coding"
0.38,0.5,3.95,4.83,4,5378,1,1,"","coding"
0.38,NA,NA,0.38,5,5303,NA,NA,NA,NA
0.4,NA,6.2,6.6,5,4806,1,1,"","coding"
0.4,NA,NA,0.4,1,5171,1,1,"","coding"
0.4,NA,NA,0.4,2,5379,NA,NA,NA,NA
0.43,0.75,3.66,4.84,3,5391,1,1,"","coding"
0.43,7.75,NA,8.18,5,5163,NA,NA,NA,NA
0.43,NA,NA,0.43,1,4962,NA,NA,NA,NA
0.43,NA,NA,0.43,5,5332,NA,NA,NA,NA
0.44,NA,2.64,3.08,2,4776,1,1,"","coding"
0.45,0.25,NA,0.7,2,4844,1,1,"","coding"
0.45,NA,0.27,0.72,1,4996,NA,NA,NA,NA
0.45,NA,4.33,4.78,4,4785,1,1,"","coding"
0.45,NA,NA,0.45,2,5302,NA,NA,NA,NA
0.46,NA,NA,0.46,1,5024,NA,NA,NA,NA
